PI4KB,Pi4kb
PIANP,Pianp
PIAS1,Pias1
PIAS2,Pias2
PIAS3,Pias3
PIAS4,Pias4
PIBF1,Pibf1
PICALM,Picalm
PICK1,Pick1
PID1,Pid1
PIDD1,Pidd1
PIERCE1,Pierce1
PIERCE2,Pierce2
PIEZO1,Piezo1
A1BG,A1bg
A1CF,A1cf
A2M,A2m
A3GALT2,A3galt2
A4GALT,A4galt
A4GNT,A4gnt
AAAS,Aaas
AACS,Aacs
AADAC,Aadac
AADACL2,Aadacl2
AADACL3,Aadacl3
AADACL4,AAdacl4fm3
AADACL4,Aadacl4
AADACL4,Aadacl4fm5
AADACL4,Aadacl4fm2
AADACL4,Aadacl4fm4
AADACL4,Aadacl4fm1
AADAT,Aadat
AAGAB,Aagab
AAK1,Aak1
AAMDC,Aamdc
AAMP,Aamp
AANAT,Aanat
AAR2,Aar2
AARD,Aard
AARS1,Aars
AARS2,Aars2
AARSD1,Aarsd1
AASDH,Aasdh
AASDHPPT,Aasdhppt
AASS,Aass
AATF,Aatf
AATK,Aatk
ABAT,Abat
ABCA1,Abca1
ABCA12,Abca12
ABCA13,Abca13
ABCA15P,Abca15
ABCA17P,Abca17
ABCA2,Abca2
ABCA3,Abca3
ABCA4,Abca4
ABCA5,Abca5
ABCA6,Abca6
ABCA7,Abca7
ABCA8,Abca8b
ABCA8,Abca8a
ABCA9,Abca9
ABCB1,Abcb1b
ABCB1,Abcb1a
ABCB10,Abcb10
ABCB11,Abcb11
ABCB4,Abcb4
ABCB5,Abcb5
ABCB6,Abcb6
ABCB7,Abcb7
ABCB8,Abcb8
ABCB9,Abcb9
ABCC1,Abcc1
ABCC10,Abcc10
ABCC12,Abcc12
ABCC2,Abcc2
ABCC3,Abcc3
ABCC4,Abcc4
ABCC5,Abcc5
ABCC6,Abcc6
ABCC8,Abcc8
ABCC9,Abcc9
ABCD1,Abcd1
ABCD2,Abcd2
ABCD3,Abcd3
ABCD4,Abcd4
ABCE1,Abce1
ABCF1,Abcf1
ABCF2,Abcf2
ABCF2-H2BK1,Abcf2
ABCF3,Abcf3
ABCG1,Abcg1
ABCG2,Abcg3
ABCG2,Abcg2
ABCG4,Abcg4
ABCG5,Abcg5
ABCG8,Abcg8
ABHD1,Abhd1
ABHD10,Abhd10
ABHD11,Abhd11
ABHD12,Abhd12
ABHD12B,Abhd12b
ABHD13,Abhd13
ABHD14A,Abhd14a
ABHD14B,Abhd14b
ABHD15,Abhd15
ABHD16A,Abhd16a
ABHD16B,Abhd16b
ABHD17A,Abhd17a
ABHD17B,Abhd17b
ABHD17C,Abhd17c
ABHD18,Abhd18
ABHD2,Abhd2
ABHD3,Abhd3
ABHD4,Abhd4
ABHD5,Abhd5
ABHD6,Abhd6
ABHD8,Abhd8
ABI1,Abi1
ABI2,Abi2
ABI3,Abi3
ABI3BP,Abi3bp
ABITRAM,Abitram
ABL1,Abl1
ABL2,Abl2
ABLIM1,Ablim1
ABLIM2,Ablim2
ABLIM3,Ablim3
ABO,Abo
ABR,Abr
ABRA,Abra
ABRACL,Abracl
ABRAXAS1,Abraxas1
ABRAXAS2,Abraxas2
ABT1,Abt1
ABTB1,Abtb1
ABTB2,Abtb2
ABTB3,Abtb3
ACAA1,Acaa1a
ACAA1,Acaa1b
ACAA2,Acaa2
ACACA,Acaca
ACACB,Acacb
ACAD10,Acad12
ACAD10,Acad10
ACAD11,Acad11
ACAD8,Acad8
ACAD9,Acad9
ACADL,Acadl
ACADM,Acadm
ACADS,Acads
ACADSB,Acadsb
ACADVL,Acadvl
ACAN,Acan
ACAP1,Acap1
ACAP2,Acap2
ACAP3,Acap3
ACAT1,Acat1
ACAT2,Acat2
ACAT2,Acat3
ACBD3,Acbd3
ACBD4,Acbd4
ACBD5,Acbd5
ACBD6,Acbd6
ACBD7,Acbd7
ACCS,Accs
ACCSL,Accsl
ACD,Acd
ACE,Ace
ACE2,Ace2
ACE3P,Ace3
ACER1,Acer1
ACER2,Acer2
ACER3,Acer3
ACHE,Ache
ACIN1,Acin1
ACKR1,Ackr1
ACKR2,Ackr2
ACKR3,Ackr3
ACKR4,Ackr4
ACLY,Acly
ACMSD,Acmsd
ACO1,Aco1
ACO2,Aco2
ACOD1,Acod1
ACOT1,Acot5
ACOT1,Acot3
ACOT1,Acot1
ACOT11,Acot11
ACOT12,Acot12
ACOT13,Acot13
ACOT2,Acot1
ACOT2,Acot2
ACOT4,Acot4
ACOT6,Acot6
ACOT7,Acot7
ACOT8,Acot8
ACOT9,Acot10
ACOT9,Acot9
ACOX1,Acox1
ACOX2,Acox2
ACOX3,Acox3
ACOXL,Acoxl
ACP1,Acp1
ACP2,Acp2
ACP3,Acpp
ACP4,Acp4
ACP5,Acp5
ACP6,Acp6
ACP7,Acp7
ACR,Acr
ACRBP,Acrbp
ACRV1,Acrv1
ACSBG1,Acsbg1
ACSBG2,Acsbg2
ACSF2,Acsf2
ACSF3,Acsf3
ACSL1,Acsl1
ACSL3,Acsl3
ACSL4,Acsl4
ACSL5,Acsl5
ACSL6,Acsl6
ACSM1,Acsm1
ACSM2A,Acsm2
ACSM2B,Acsm2
ACSM3,Acsm3
ACSM4,Acsm4
ACSM5,Acsm5
ACSS1,Acss1
ACSS2,Acss2
ACSS3,Acss3
ACTA1,Acta1
ACTA2,Acta2
ACTB,Actb
ACTBL2,Actbl2
ACTC1,Actc1
ACTE1P,Acte1
ACTG1,Actg1
ACTG2,Actg2
ACTL10,Actl10
ACTL11P,Actl11
ACTL6A,Actl6a
ACTL6B,Actl6b
ACTL7A,Actl7a
ACTL7B,Actl7b
ACTL9,Actl9
ACTMAP,BC024978
ACTN1,Actn1
ACTN2,Actn2
ACTN3,Actn3
ACTN4,Actn4
ACTR10,Actr10
ACTR1A,Actr1a
ACTR1B,Actr1b
ACTR2,Actr2
ACTR3,Actr3
ACTR3B,Actr3b
ACTR5,Actr5
ACTR6,Actr6
ACTR8,Actr8
ACTRT1,Actrt1
ACTRT2,Actrt2
ACTRT3,Actrt3
ACVR1,Acvr1
ACVR1B,Acvr1b
ACVR1C,Acvr1c
ACVR2A,Acvr2a
ACVR2B,Acvr2b
ACVRL1,Acvrl1
ACY1,Acy1
ACY3,Acy3
ACYP1,Acyp1
ACYP2,Acyp2
ADA,Ada
ADAD1,Adad1
ADAD2,Adad2
ADAL,Adal
ADAM10,Adam10
ADAM11,Adam11
ADAM12,Adam12
ADAM15,Adam15
ADAM17,Adam17
ADAM18,Adam18
ADAM19,Adam19
ADAM1A,Adam1a
ADAM1B,Adam1b
ADAM2,Adam2
ADAM20,Adam20
ADAM20,Adam39
ADAM20,Adam25
ADAM21,Adam21
ADAM22,Adam22
ADAM23,Adam23
ADAM24P,Adam24
ADAM28,Adam28
ADAM29,Adam29
ADAM30,Adam30
ADAM32,Adam32
ADAM33,Adam33
ADAM3A,Adam3
ADAM5,Adam5
ADAM6,Adam6a
ADAM7,Adam7
ADAM8,Adam8
ADAM9,Adam9
ADAMDEC1,Adamdec1
ADAMTS1,Adamts1
ADAMTS10,Adamts10
ADAMTS12,Adamts12
ADAMTS13,Adamts13
ADAMTS14,Adamts14
ADAMTS15,Adamts15
ADAMTS16,Adamts16
ADAMTS17,Adamts17
ADAMTS18,Adamts18
ADAMTS19,Adamts19
ADAMTS2,Adamts2
ADAMTS20,Adamts20
ADAMTS3,Adamts3
ADAMTS4,Adamts4
ADAMTS5,Adamts5
ADAMTS6,Adamts6
ADAMTS7,Adamts7
ADAMTS8,Adamts8
ADAMTS9,Adamts9
ADAMTSL1,Adamtsl1
ADAMTSL2,Adamtsl2
ADAMTSL3,Adamtsl3
ADAMTSL4,Adamtsl4
ADAMTSL5,Adamtsl5
ADAP1,Adap1
ADAP2,Adap2
ADAR,Adar
ADARB1,Adarb1
ADARB2,Adarb2
ADAT1,Adat1
ADAT2,Adat2
ADAT3,Adat3
ADCK1,Adck1
ADCK2,Adck2
ADCK5,Adck5
ADCY1,Adcy1
ADCY10,Adcy10
ADCY2,Adcy2
ADCY3,Adcy3
ADCY4,Adcy4
ADCY5,Adcy5
ADCY6,Adcy6
ADCY7,Adcy7
ADCY8,Adcy8
ADCY9,Adcy9
ADCYAP1,Adcyap1
ADCYAP1R1,Adcyap1r1
ADD1,Add1
ADD2,Add2
ADD3,Add3
ADGB,Adgb
ADGRA1,Adgra1
ADGRA2,Adgra2
ADGRA3,Adgra3
ADGRB1,Adgrb1
ADGRB2,Adgrb2
ADGRB3,Adgrb3
ADGRD1,Adgrd1
ADGRE1,Adgre1
ADGRE2,Adgre5
ADGRE4P,Adgre4
ADGRE5,Adgre5
ADGRF1,Adgrf1
ADGRF2,Adgrf2
ADGRF3,Adgrf3
ADGRF4,Adgrf4
ADGRF5,Adgrf5
ADGRG1,Adgrg1
ADGRG2,Adgrg2
ADGRG3,Adgrg3
ADGRG4,Adgrg4
ADGRG5,Adgrg5
ADGRG6,Adgrg6
ADGRG7,Adgrg7
ADGRL1,Adgrl1
ADGRL2,Adgrl2
ADGRL3,Adgrl3
ADGRL4,Adgrl4
ADGRV1,Adgrv1
ADH1A,Adh1
ADH1B,Adh1
ADH1C,Adh1
ADH4,Adh4
ADH5,Adh5
ADH6,Adh6b
ADH7,Adh7
ADHFE1,Adhfe1
ADI1,Adi1
ADIG,Adig
ADIPOQ,Adipoq
ADIPOR1,Adipor1
ADIPOR2,Adipor2
ADK,Adk
ADM,Adm
ADM2,Adm2
ADNP,Adnp
ADNP2,Adnp2
ADO,Ado
ADORA1,Adora1
ADORA2A,Adora2a
ADORA2B,Adora2b
ADORA3,Adora3
ADPGK,Adpgk
ADPRH,Adprh
ADPRHL1,Adprhl1
ADPRM,Adprm
ADPRS,Adprs
ADRA1A,Adra1a
ADRA1B,Adra1b
ADRA1D,Adra1d
ADRA2A,Adra2a
ADRA2B,Adra2b
ADRA2C,Adra2c
ADRB1,Adrb1
ADRB2,Adrb2
ADRB3,Adrb3
ADRM1,Adrm1
ADRM1,Adrm1b
ADSL,Adsl
ADSS1,Adssl1
ADSS2,Adss
ADTRP,Adtrp
AEBP1,Aebp1
AEBP2,Aebp2
AEN,Aen
AFAP1,Afap1
AFAP1L1,Afap1l1
AFAP1L2,Afap1l2
AFDN,Afdn
AFF1,Aff1
AFF2,Aff2
AFF3,Aff3
AFF4,Aff4
AFG1L,Afg1l
AFG3L1P,Afg3l1
AFG3L2,Afg3l2
AFM,Afm
AFMID,Afmid
AFP,Afp
AFTPH,Aftph
AGA,Aga
AGAP1,Agap1
AGAP11,Agap1
AGAP2,Agap2
AGAP3,Agap3
AGAP5,Agap1
AGAP7P,Agap1
AGAP9,Agap1
AGBL1,Agbl1
AGBL2,Agbl2
AGBL3,Agbl3
AGBL4,Agbl4
AGBL5,Agbl5
AGER,Ager
AGFG1,Agfg1
AGFG2,Agfg2
AGGF1,Aggf1
AGK,Agk
AGL,Agl
AGMAT,Agmat
AGMO,Agmo
AGO1,Ago1
AGO2,Ago2
AGO3,Ago3
AGO4,Ago4
AGPAT1,Agpat1
AGPAT2,Agpat2
AGPAT3,Agpat3
AGPAT4,Agpat4
AGPAT5,Agpat5
AGPS,Agps
AGR2,Agr2
AGR3,Agr3
AGRN,Agrn
AGRP,Agrp
AGT,Agt
AGTPBP1,Agtpbp1
AGTR1,Agtr1a
AGTR1,Agtr1b
AGTR2,Agtr2
AGTRAP,Agtrap
AGXT,Agxt
AGXT2,Agxt2
AHCTF1,Ahctf1
AHCY,Ahcy
AHCY,Ahcyl
AHCYL1,Ahcyl1
AHCYL2,Ahcyl2
AHDC1,Ahdc1
AHI1,Ahi1
AHNAK,Ahnak
AHNAK2,Ahnak2
AHR,Ahr
AHRR,Ahrr
AHSA1,Ahsa1
AHSA2P,Ahsa2
AHSG,Ahsg
AHSP,Ahsp
AICDA,Aicda
AIDA,Aida
AIF1,Aif1
AIF1L,Aif1l
AIFM1,Aifm1
AIFM2,Aifm2
AIFM3,Aifm3
AIG1,Aig1
AIM2,Aim2
AIMP1,Aimp1
AIMP2,Aimp2
AIP,Aip
AIPL1,Aipl1
AIRE,Aire
AIRN,Airn
AJAP1,Ajap1
AJM1,Ajm1
AJUBA,Ajuba
AK1,Ak1
AK2,Ak2
AK3,Ak3
AK4,Ak4
AK5,Ak5
AK6,Ak6
AK7,Ak7
AK8,Ak8
AK9,Ak9
AKAIN1,Akain1
AKAP1,Akap1
AKAP10,Akap10
AKAP11,Akap11
AKAP12,Akap12
AKAP13,Akap13
AKAP14,Akap14
AKAP17A,Akap17b
